PassengerId,Survived_pred,Prob_survived
892,0,0.1583966711715684
893,0,0.41970527684795417
894,0,0.12926152989946404
895,0,0.14549695627611145
896,0,0.46627556597804887
897,0,0.1791754335008774
898,1,0.8583871375243217
899,0,0.16811670604496082
900,1,0.7887309742740689
901,0,0.10166375906495197
902,0,0.14514567863962902
903,0,0.15612164307458085
904,1,0.895692938494559
905,0,0.15925819340976027
906,1,0.9171922831996079
907,1,0.8968390434930308
908,0,0.13540536831075506
909,0,0.17063395909403137
910,0,0.42425585835758084
911,1,0.5366789265780544
912,0,0.2722025798200525
913,1,0.5281670273113998
914,1,0.9088634957968734
915,0,0.28900932770377724
916,1,0.5226360695259098
917,0,0.13768220804633188
918,1,0.9020745918448704
919,0,0.16541537748554186
920,0,0.15518120180248998
921,0,0.15598616752607564
922,0,0.1547803684611676
923,0,0.13770938368375663
924,0,0.3422654485560651
925,0,0.37372741660132386
926,0,0.21669139853049862
927,0,0.18236671310821706
928,1,0.5244166161625826
929,1,0.5504822952286743
930,0,0.1460427204889119
931,0,0.2627302869142976
932,0,0.10890844559078472
933,0,0.15594156561671738
934,0,0.15660813680279725
935,1,0.8688489333917371
936,1,0.9182282910166539
937,0,0.14391817003187218
938,0,0.15886784116194938
939,0,0.1526877739209185
940,1,0.8219646601660033
941,0,0.5158936749285971
942,0,0.18118966949370707
943,0,0.13276189867322896
944,1,0.7506739215863654
945,1,0.8611938335947946
946,0,0.13184828788868255
947,0,0.12849984520173333
948,0,0.15281374098048375
949,0,0.14355823026925682
950,0,0.1161066549875804
951,1,0.8335234537678363
952,0,0.1596661277621494
953,0,0.14553166496992836
954,0,0.1553214592732057
955,1,0.8670085070464751
956,0,0.5169609074966519
957,1,0.8804511253347643
958,1,0.8649934699999599
959,0,0.15639424751061426
960,0,0.15401215078362834
961,0,0.25350142297355566
962,1,0.8668218680414963
963,0,0.14726834185899987
964,1,0.5214947146611846
965,0,0.15618371556531746
966,1,0.8603062770564899
967,0,0.15984580698293227
968,0,0.1453530361324434
969,1,0.8101395544371164
970,0,0.14323887618764952
971,1,0.8668218680414963
972,1,0.6512877253187103
973,0,0.5074762798772215
974,0,0.15570081214413212
975,0,0.14514567863962902
976,0,0.13220437482244268
977,0,0.14961231160183233
978,1,0.8644679388450821
979,1,0.5642441727904085
980,1,0.862785534529368
981,1,0.8782550297498877
982,0,0.46187118412451905
983,0,0.14498396035532804
984,1,0.925420405293651
985,0,0.1453530361324434
986,0,0.1631396492073309
987,0,0.14374865763348454
988,1,0.7120984941979333
989,0,0.14606236343447207
990,1,0.5524601224601388
991,0,0.15075747582677954
992,1,0.90344749125612
993,0,0.13922198419929613
994,0,0.1526877739209185
995,0,0.1438653126206013
996,1,0.8217467303013531
997,0,0.16958042023135006
998,0,0.1542838129512738
999,0,0.1526877739209185
1000,0,0.1462557579863833
1001,0,0.16052623508312913
1002,0,0.13272238566250377
1003,1,0.8628220196678502
1004,1,0.8613338717791624
1005,1,0.8647861169286297
1006,1,0.8137471866942831
1007,0,0.20660149587332483
1008,0,0.1540303512287341
1009,1,0.8428564330069656
1010,0,0.16157486759080697
1011,1,0.8629098038976227
1012,1,0.8602491257209798
1013,0,0.15343899106453718
1014,1,0.9050073926964132
1015,0,0.14428851571187254
1016,0,0.1526877739209185
1017,1,0.7462955258515541
1018,0,0.14559025066543624
1019,1,0.783650704494567
1020,0,0.1550946022345474
1021,0,0.1442812789985771
1022,0,0.14956388473351256
1023,0,0.15697905289151667
1024,0,0.2942868252711707
1025,0,0.14482393812750502
1026,0,0.1566024441244904
1027,0,0.144025010273041
1028,0,0.15656930710175576
1029,0,0.1422059836663867
1030,1,0.5398399643464874
1031,0,0.20455540564269814
1032,0,0.2106077190085018
1033,1,0.8861368992554288
